stress_level,policy,delivered,dropped,generated,throughput_bps
S0,Static,23000.0,0.0,25500.0,613.3333333333334
S0,Greedy,374300.0,15300.0,378500.0,9981.333333333334
S0,Agentic,71400.0,4900.0,82800.0,1904.0
S1,Static,22700.0,0.0,28000.0,605.3333333333334
S1,Greedy,663800.0,300.0,665100.0,17701.333333333332
S1,Agentic,34300.0,15600.0,41800.0,914.6666666666666
S2,Static,28200.0,7000.0,35000.0,752.0
S2,Greedy,733300.0,190300.0,735500.0,19554.666666666668
S2,Agentic,129200.0,90700.0,136700.0,3445.3333333333335
S2,Static,46950.0,105250.0,53750.0,1252.0
S2,Greedy,628650.0,150550.0,629750.0,16764.0
S2,Agentic,116000.0,80500.0,123500.0,3093.3333333333335
S2,Static,41250.0,9500.0,47500.0,1100.0
S2,Greedy,796700.0,177950.0,799450.0,21245.333333333332
S2,Agentic,307700.0,103700.0,312400.0,8205.333333333334
