stress_level,seed,policy,method,alpha,range_scale,buffer_scale,delivered,dropped,generated,throughput_bps,delivery_rate_pct,packet_loss_pct
S0,1,Static,static,1.0,1.0,1.0,23000.0,0.0,25500.0,613.3333333333334,90.19607843137256,0.0
S0,1,Greedy,greedy,1.0,1.0,1.0,374300.0,15300.0,378500.0,9981.333333333334,98.89035667107001,4.04227212681638
S0,1,Agentic,mappo_full,1.0,1.0,1.0,71400.0,4900.0,82800.0,1904.0,86.23188405797102,5.917874396135265
S1,1,Static,static,2.0,0.75,1.0,22700.0,0.0,28000.0,605.3333333333334,81.07142857142857,0.0
S1,1,Greedy,greedy,2.0,0.75,1.0,663800.0,300.0,665100.0,17701.333333333332,99.80454067057585,0.04510599909788002
S1,1,Agentic,mappo_full,2.0,0.75,1.0,34300.0,15600.0,41800.0,914.6666666666666,82.05741626794259,37.32057416267943
S2,1,Static,static,3.0,0.5,0.5,28200.0,7000.0,35000.0,752.0,80.57142857142857,20.0
S2,1,Greedy,greedy,3.0,0.5,0.5,733300.0,190300.0,735500.0,19554.666666666668,99.70088375254929,25.873555404486744
S2,1,Agentic,mappo_full,3.0,0.5,0.5,129200.0,90700.0,136700.0,3445.3333333333335,94.51353328456474,66.34967081199707
S2,2,Static,static,3.0,0.5,0.5,46950.0,105250.0,53750.0,1252.0,87.34883720930233,195.8139534883721
S2,2,Greedy,greedy,3.0,0.5,0.5,628650.0,150550.0,629750.0,16764.0,99.82532751091703,23.90631202858277
S2,2,Agentic,mappo_full,3.0,0.5,0.5,116000.0,80500.0,123500.0,3093.3333333333335,93.92712550607287,65.18218623481782
S2,3,Static,static,3.0,0.5,0.5,41250.0,9500.0,47500.0,1100.0,86.84210526315789,20.0
S2,3,Greedy,greedy,3.0,0.5,0.5,796700.0,177950.0,799450.0,21245.333333333332,99.65601350928763,22.259053099005566
S2,3,Agentic,mappo_full,3.0,0.5,0.5,307700.0,103700.0,312400.0,8205.333333333334,98.4955185659411,33.19462227912932
