stress_level,seed,policy,method,alpha,range_scale,buffer_scale,delivered,dropped,generated,throughput_bps,delivery_rate_pct,packet_loss_pct,undelivered_pct,recovery_time_s
S0,1,Static,static,1.0,1.0,1.0,23000.0,0.0,25500.0,613.3333333333334,90.19607843137256,0.0,9.803921568627452,0.0
S0,1,FixedRelay,fixed_relay,1.0,1.0,1.0,345300.0,2500.0,346300.0,9208.0,99.7112330349408,0.721917412647993,0.28876696505919724,0.0
S0,1,Greedy,greedy,1.0,1.0,1.0,374300.0,15300.0,378500.0,9981.333333333334,98.89035667107001,4.04227212681638,1.1096433289299867,1.0
S0,1,Agentic,mappo_full,1.0,1.0,1.0,71400.0,4900.0,82800.0,1904.0,86.23188405797102,5.917874396135265,13.768115942028986,0.0
S0,2,Static,static,1.0,1.0,1.0,37500.0,27500.0,44000.0,1000.0,85.22727272727273,62.5,14.772727272727273,0.0
S0,2,FixedRelay,fixed_relay,1.0,1.0,1.0,351000.0,4300.0,355300.0,9360.0,98.78975513650437,1.2102448634956375,1.2102448634956375,0.0
S0,2,Greedy,greedy,1.0,1.0,1.0,479200.0,19100.0,480700.0,12778.666666666666,99.68795506552944,3.973372165591845,0.31204493447056375,2.0
S0,2,Agentic,mappo_full,1.0,1.0,1.0,23100.0,3800.0,30700.0,616.0,75.2442996742671,12.37785016286645,24.7557003257329,0.0
S0,3,Static,static,1.0,1.0,1.0,33500.0,0.0,36000.0,893.3333333333334,93.05555555555556,0.0,6.944444444444445,0.0
S0,3,FixedRelay,fixed_relay,1.0,1.0,1.0,236800.0,8700.0,241900.0,6314.666666666667,97.8916907813146,3.596527490698636,2.1083092186854073,0.0
S0,3,Greedy,greedy,1.0,1.0,1.0,460100.0,14400.0,461500.0,12269.333333333334,99.69664138678223,3.1202600216684724,0.30335861321776814,2.0
S0,3,Agentic,mappo_full,1.0,1.0,1.0,42000.0,800.0,47700.0,1120.0,88.0503144654088,1.6771488469601676,11.949685534591195,0.0
S1,1,Static,static,2.0,0.75,1.0,23400.0,0.0,28000.0,624.0,83.57142857142857,0.0,16.428571428571427,0.0
S1,1,FixedRelay,fixed_relay,2.0,0.75,1.0,262300.0,10300.0,266900.0,6994.666666666667,98.27650805545149,3.859123267141251,1.72349194454852,0.0
S1,1,Greedy,greedy,2.0,0.75,1.0,811125.0,1075.0,812325.0,21630.0,99.85227587480381,0.132336195488259,0.1477241251961961,1.0
S1,1,Agentic,mappo_full,2.0,0.75,1.0,70875.0,34825.0,80975.0,1890.0,87.52701451065144,43.00710095708552,12.472985489348565,0.0
S1,2,Static,static,2.0,0.75,1.0,37700.0,60000.0,46000.0,1005.3333333333334,81.95652173913044,130.43478260869566,18.043478260869566,0.0
S1,2,FixedRelay,fixed_relay,2.0,0.75,1.0,299000.0,5600.0,302800.0,7973.333333333333,98.7450462351387,1.8494055482166447,1.2549537648612945,0.0
S1,2,Greedy,greedy,2.0,0.75,1.0,720300.0,0.0,721200.0,19208.0,99.87520798668885,0.0,0.12479201331114809,0.0
S1,2,Agentic,mappo_full,2.0,0.75,1.0,51975.0,23300.0,65300.0,1386.0,79.59418070444104,35.68147013782542,20.40581929555896,0.0
S1,3,Static,static,2.0,0.75,1.0,34000.0,0.0,39000.0,906.6666666666666,87.17948717948718,0.0,12.820512820512821,0.0
S1,3,FixedRelay,fixed_relay,2.0,0.75,1.0,250500.0,15400.0,255000.0,6680.0,98.23529411764706,6.03921568627451,1.7647058823529411,0.0
S1,3,Greedy,greedy,2.0,0.75,1.0,701000.0,0.0,702600.0,18693.333333333332,99.77227440933675,0.0,0.2277255906632508,0.0
S1,3,Agentic,mappo_full,2.0,0.75,1.0,55650.0,5550.0,59250.0,1484.0,93.92405063291139,9.367088607594937,6.075949367088608,0.0
