controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility
openloop,"[0.0, 20.0)",18.187681703619894,46.229043607276566,11.836650846870688,0.45372395833333334,0.005520833333333333,-27.755712758823915
openloop,"[20.0, 40.0)",37.52651147590248,94.06427600615581,17.984203875027873,0.265390625,0.00038194444444444446,-54.80876222593035
openloop,"[40.0, 60.0)",96.86873311886472,296.73251859270744,62.099437910638756,0.12666666666666665,0.0012239583333333334,-158.33483769617015
openloop,"[60.0, 80.0)",,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,
pid,"[0.0, 20.0)",18.55719764701445,42.138175954206915,10.44069931639007,0.5827604166666667,0.0017447916666666666,-26.084094880071188
pid,"[20.0, 40.0)",36.70495008274445,85.95497913307068,16.996763045510345,0.3081423611111111,0.0009809027777777778,-52.78600132269925
pid,"[40.0, 60.0)",80.03607050221399,201.70235194707044,41.00988707444325,0.17658854166666665,0.002109375,-120.1630148683239
pid,"[60.0, 80.0)",,,,,,
pid,"[80.0, 1000000000.0)",,,,,,
agentic,"[0.0, 20.0)",15.370653739894298,39.77758391216791,8.810014020831474,0.6508072916666666,0.01015625,-20.926631302392437
agentic,"[20.0, 40.0)",28.451398673879318,74.31657844852133,14.972634677141368,0.26989583333333333,0.006736111111111111,-42.69955418435402
agentic,"[40.0, 60.0)",55.77273625907005,127.86307678598169,28.11462193091986,0.17638020833333332,0.00140625,-83.00545714832325
agentic,"[60.0, 80.0)",,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,
