controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility
openloop,"[0.0, 20.0)",18.16348335802676,45.56610520785561,11.819262531252205,0.4544270833333333,0.005572916666666666,-27.710610472612302
openloop,"[20.0, 40.0)",44.369679159067644,118.08963654167425,22.028201316218436,0.35463541666666665,0.001979166666666667,-64.62470339195275
openloop,"[40.0, 60.0)",95.72071908677324,295.6934057178027,59.26761448591695,0.207421875,0.0017708333333333332,-153.9512241976902
openloop,"[60.0, 80.0)",,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,
pid,"[0.0, 20.0)",18.53721462204846,42.87338503943742,10.415931360959735,0.5880208333333333,0.0019270833333333334,-26.013041816341524
pid,"[20.0, 40.0)",38.68514288528713,96.55934248795349,19.12441476461578,0.2788802083333334,0.00078125,-56.41515660823624
pid,"[40.0, 60.0)",71.38990469266484,173.17372906246825,38.10054128489317,0.2084635416666667,0.0026822916666666666,-108.44812826922468
pid,"[60.0, 80.0)",,,,,,
pid,"[80.0, 1000000000.0)",,,,,,
agentic,"[0.0, 20.0)",15.319431088023908,40.01682571576928,8.825465021570604,0.6496614583333333,0.011848958333333333,-20.896588817927846
agentic,"[20.0, 40.0)",31.133740682379663,69.90375673892007,13.966539526440371,0.42960937499999996,0.0078125,-42.95223333382004
agentic,"[40.0, 60.0)",60.61729309649006,158.7405520587593,28.92629337026935,0.3153125,0.0009375,-87.9670239667594
agentic,"[60.0, 80.0)",,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,
