controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",19.87284842630494,52.4089044531446,11.971910177268288,0.43572916666666667,0.0020833333333333337,-29.6661127702399,1071065700.3189461,11924.244775952033
openloop,"[20.0, 40.0)",38.562186036375536,105.46257235946887,20.61440307934908,0.24447916666666666,0.00046875,-57.95419328239127,1075607947.9824576,11160.414018325777
openloop,"[40.0, 60.0)",87.18336220174325,290.4909770943857,59.7099175415806,0.12213541666666665,0.0,-146.28260265999052,1088576325.7869842,10868.483772670235
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",19.05415111766419,42.883941772708326,10.420112907437064,0.6065104166666667,0.00140625,-26.44171194176792,909262979.1799237,11853.911521013219
pid,"[20.0, 40.0)",34.819393883388166,82.7204358548662,19.771069632475797,0.28109375000000003,0.007135416666666667,-53.18499476586396,900998270.036837,10695.222606962992
pid,"[40.0, 60.0)",68.73436974977669,155.55203396206744,33.3313868060697,0.228125,0.0007291666666666667,-100.92513155584638,917929647.7103285,11009.955144211512
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",17.648883123850702,39.8525336970908,10.302281725041274,0.5275520833333334,0.008958333333333334,-25.31340443222531,916072465.4805965,11599.263648384047
agentic,"[20.0, 40.0)",33.630055143669765,88.3827611835774,16.002035386517274,0.33276041666666667,0.0009375,-47.968288446853705,907368959.4828746,10996.5246354327
agentic,"[40.0, 60.0)",71.88861813382182,209.52208443823037,41.74611232678315,0.2630208333333333,0.011145833333333332,-112.31962629393828,902259306.2406934,10675.641715382775
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
