controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",18.187681703619894,46.229043607276566,11.836650846870688,0.45372395833333334,0.005520833333333333,-27.755712758823915,1058618162.8687853,11679.875653881643
openloop,"[20.0, 40.0)",37.91966219622369,108.63467602623925,18.783051521829435,0.2910416666666667,0.0016927083333333332,-55.247505384719794,1077707391.9307373,11352.857164498826
openloop,"[40.0, 60.0)",87.85395961686729,278.01296088894253,57.75208919049176,0.14434895833333333,0.00041666666666666664,-144.88430401569238,1081849727.8233242,10834.463535979241
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",18.55719764701445,42.138175954206915,10.44069931639007,0.5827604166666667,0.0017447916666666666,-26.084094880071188,907926050.3342714,11696.256433959275
pid,"[20.0, 40.0)",35.524105869233004,79.0556027791851,16.717847094133127,0.29919270833333333,0.004635416666666667,-50.74598942169946,899757339.0640751,10652.647885560003
pid,"[40.0, 60.0)",73.5215134997912,176.25590766867487,34.76708003568264,0.16596354166666666,0.00036458333333333335,-107.4587758271405,909856337.2198366,10929.340880462685
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",15.895091427187197,38.66262243767923,9.59618333297728,0.5988020833333334,0.013203125,-22.49726434349781,905612436.1918637,11461.306375312994
agentic,"[20.0, 40.0)",29.96092149584747,78.6774153112727,15.324432681644456,0.2955729166666667,0.006562500000000001,-43.807489594158596,898584809.0476265,10840.117105833018
agentic,"[40.0, 60.0)",62.0077042743614,188.81292690668153,37.33095613602073,0.18231770833333333,0.006510416666666667,-98.42707186871547,898030580.718408,10656.434854809017
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
