controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",14.73936328499883,27.721220717794914,5.699410019978652,0.83375,0.006354166666666666,-16.27002330497748,382943475.1670119,283.223932823745
openloop,"[20.0, 40.0)",15.265814144540846,27.72111857557669,5.853277318997399,0.825,0.004348958333333333,-16.994091463538247,356477056.35999995,0.0
openloop,"[40.0, 60.0)",15.682374921935667,27.720785640547916,5.853306498934105,0.825,0.004348958333333333,-17.41068142086977,356477056.35999995,0.0
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",12.596211825937734,24.872864049774115,3.27763445047852,1.0,0.025807291666666666,-10.873846276416256,379460846.18831635,345.78702168322604
pid,"[20.0, 40.0)",13.086739076936638,24.872273175802274,3.3459965229383015,1.0,0.01921875,-11.432735599874938,356477056.35999995,0.0
pid,"[40.0, 60.0)",13.546607017350187,24.872420918449535,3.345981211024765,1.0,0.019192708333333332,-11.89258822837495,356477056.35999995,0.0
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",12.591553370282165,24.279949028711616,3.3348393351447214,1.0,0.03203125,-10.926392705426887,379082765.671168,342.31911282542063
agentic,"[20.0, 40.0)",13.127557909222588,24.18372464114742,3.3037443267461106,1.0,0.02359375,-11.431302235968698,356477056.35999995,0.0
agentic,"[40.0, 60.0)",13.59406639700616,24.183333264817815,3.3038416113293336,1.0,0.02359375,-11.897908008335493,356477056.35999995,0.0
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
