controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",14.73936328499883,27.721220717794914,5.699410019978652,0.83375,0.006354166666666666,-16.27002330497748,382943475.1670119,283.223932823745
openloop,"[20.0, 40.0)",40.91277291098675,88.16700736513788,14.054296373850045,0.5477604166666666,0.0007291666666666667,-52.22826720150347,1054736109.0154072,11924.29303051383
openloop,"[40.0, 60.0)",66.67726618721947,121.95586291322127,21.50959413846416,0.516953125,0.0,-85.60209470068364,1000391744.4896805,11731.76553512627
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",12.596211825937734,24.872864049774115,3.27763445047852,1.0,0.025807291666666666,-10.873846276416256,379460846.18831635,345.78702168322604
pid,"[20.0, 40.0)",36.95691673529005,100.42803630817409,14.396234472872498,0.6165885416666667,0.0007291666666666667,-48.27020849982922,899365111.2673914,11597.377023651525
pid,"[40.0, 60.0)",64.70837479517148,149.5595663291612,34.266493114410885,0.4619010416666667,0.0,-96.66536270124902,853065876.5705183,10496.542776905702
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",12.591553370282165,24.279949028711616,3.3348393351447214,1.0,0.03203125,-10.926392705426887,379082765.671168,342.31911282542063
agentic,"[20.0, 40.0)",36.31365353145093,90.92719010230294,13.782824146205467,0.569375,0.00046875,-47.2496026776564,908548041.7951809,11848.684504154846
agentic,"[40.0, 60.0)",65.40318833497568,144.24365711398903,30.33112850613086,0.43356770833333336,0.0,-93.56647829943988,856696313.3439262,10903.988811345638
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
