controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",18.876340192328378,34.84133616156015,8.571653636763326,0.7578125,0.0015625,-23.658931329091708,382792600.9010459,321.41641698329767
openloop,"[20.0, 40.0)",56.06154153439631,242.2364211905247,24.348215342444078,0.1578125,0.0,-79.62069437684039,1080149996.7715418,10820.856019277377
openloop,"[40.0, 60.0)",125.92313817349302,379.21640799398966,106.56993948380823,0.15364583333333334,0.0,-231.72484849063457,1038040805.2273082,10944.413155270518
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",13.58061702805111,25.573769696839857,3.188522109158265,1.0,0.015625,-11.769139137209375,383727237.71316814,385.7258636240209
pid,"[20.0, 40.0)",54.10145797640807,140.36204919985934,14.52831767964981,0.4747395833333333,0.0,-66.25607773939122,919919704.5736278,11173.959949693404
pid,"[40.0, 60.0)",109.7335597769598,229.0944155088438,47.83308314775927,0.0,0.0,-157.56664292471905,935889824.7052323,11346.569046188468
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",12.694980316895778,25.223081674694427,3.8212800547349937,1.0,0.038802083333333334,-11.516260371630773,380998353.6929868,351.0419171503029
agentic,"[20.0, 40.0)",48.70377119760018,100.51332686778412,9.982690953858617,0.4390625,0.0,-56.4911496514588,903444960.5675671,11297.793893832428
agentic,"[40.0, 60.0)",89.30997450115757,191.93378993095777,31.299059181097785,0.7083333333333334,0.0,-117.06736701558869,915618533.0396425,12080.909063111525
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
