controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",18.876340192328378,34.84133616156015,8.571653636763326,0.7578125,0.0015625,-23.658931329091708,382792600.9010459,321.41641698329767
openloop,"[20.0, 40.0)",40.00798390771468,87.24298934882013,13.264525165308148,0.4484375,0.0,-51.030321573022825,1016397010.930966,12074.629175194148
openloop,"[40.0, 60.0)",62.71678781338494,99.33637922124306,22.229050846329,0.23177083333333334,0.0,-83.78698449304726,1043394687.6276969,11695.386439282032
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",13.58061702805111,25.573769696839857,3.188522109158265,1.0,0.015625,-11.769139137209375,383727237.71316814,385.7258636240209
pid,"[20.0, 40.0)",37.23443266867075,71.74229764232446,8.118422263419921,0.7794270833333333,0.0,-41.455719515424,886345926.796169,11900.402235825288
pid,"[40.0, 60.0)",59.378496258480325,87.35696470913356,13.082864261725632,0.540625,0.0,-69.75823552020596,899310044.9277681,11807.472362065555
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",12.694980316895778,25.223081674694427,3.8212800547349937,1.0,0.038802083333333334,-11.516260371630773,380998353.6929868,351.0419171503029
agentic,"[20.0, 40.0)",26.829520784809866,64.3383957998352,10.016545826714397,0.6208333333333333,0.0,-33.74189994485759,903247225.4553272,12418.188825936953
agentic,"[40.0, 60.0)",47.93773584022717,79.92907340045267,20.817661634870657,0.9140625,0.0,-64.18508497509782,872490403.4617081,11860.23429024388
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
