case_study,controller,parameter,value
case_study_1,pid,kp,1.15
case_study_1,pid,kd,0.5
case_study_1,pid,ki,0.08
case_study_1,pid,v_max,5.8
case_study_1,pid,int_gate_on_err_m,2.0
case_study_1,pid,int_gate_off_err_m,3.0
case_study_1,pid,int_gate_on_vel_mps,4.0
case_study_1,pid,int_gate_off_vel_mps,5.0
case_study_1,pid,int_leak,0.995
case_study_1,pid,int_clamp,1.5
case_study_1,pid,d_mode,vel
case_study_1,pid,d_tau_s,0.05
case_study_1,pid,int_sat_hold,False
case_study_1,pid,int_sat_leak,1.0
case_study_1,agentic,lookahead_s,1.0
case_study_1,agentic,error_thresh_m,1.3
case_study_1,agentic,max_ref_shift_m,0.2
case_study_1,agentic,authority_alpha,0.0
case_study_1,agentic,authority_ramp_mult,2.5
case_study_1,agentic,error_gate_m,0.6
case_study_1,agentic,error_scale_m,1.5
case_study_1,agentic,comm_bias_m,0.18
case_study_1,agentic,comm_min_neighbors,1
case_study_1,agentic,rpm_eps,1e-3
case_study_1,agentic_supervisor,hz,4.0
case_study_1,agentic_supervisor,hold_s,1.2
case_study_1,agentic_supervisor,err_thresh_m,1.4
case_study_1,agentic_supervisor,err_recover_slope_mps,0.12
case_study_1,agentic_supervisor,conn_thresh,0.7
case_study_1,agentic_supervisor,form_thresh,1.15
case_study_1,agentic_supervisor,ref_shift_rate_mps,0.1
case_study_1,agentic_supervisor,ref_shift_max_m,0.2
case_study_1,agentic_supervisor,smooth_alpha_active,0.5
case_study_1,agentic_supervisor,formation_scale_min,0.9
case_study_1,agentic_supervisor,formation_scale_max,1.15
case_study_1,agentic_supervisor,sat_hold_thresh,0.55
case_study_1,agentic_supervisor,int_leak_override,0.985
case_study_1,agentic_supervisor,drift_disable_phase_ge,2
case_study_1,agentic_supervisor,ref_shift_decay_mps,0.05
case_study_1,agentic_supervisor,err_hard_m,3.5
case_study_1,agentic_supervisor,hard_hold_s,1.5
case_study_1,openloop,openloop_delay_s,0.2
case_study_3,pid,kp,1.2
case_study_3,pid,kd,0.55
case_study_3,pid,ki,0.08
case_study_3,pid,v_max,6.0
case_study_3,pid,int_gate_on_err_m,2.0
case_study_3,pid,int_gate_off_err_m,3.0
case_study_3,pid,int_gate_on_vel_mps,4.0
case_study_3,pid,int_gate_off_vel_mps,5.0
case_study_3,pid,int_leak,0.995
case_study_3,pid,int_clamp,1.5
case_study_3,pid,d_mode,vel
case_study_3,pid,d_tau_s,0.05
case_study_3,pid,int_sat_hold,False
case_study_3,pid,int_sat_leak,1.0
case_study_3,agentic,lookahead_s,1.0
case_study_3,agentic,error_thresh_m,1.3
case_study_3,agentic,max_ref_shift_m,0.2
case_study_3,agentic,authority_alpha,0.0
case_study_3,agentic,authority_ramp_mult,2.5
case_study_3,agentic,error_gate_m,0.6
case_study_3,agentic,error_scale_m,1.5
case_study_3,agentic,comm_bias_m,0.18
case_study_3,agentic,comm_min_neighbors,1
case_study_3,agentic,rpm_eps,1e-3
case_study_3,agentic_supervisor,hz,4.0
case_study_3,agentic_supervisor,hold_s,1.2
case_study_3,agentic_supervisor,err_thresh_m,1.4
case_study_3,agentic_supervisor,err_recover_slope_mps,0.12
case_study_3,agentic_supervisor,conn_thresh,0.7
case_study_3,agentic_supervisor,form_thresh,1.15
case_study_3,agentic_supervisor,ref_shift_rate_mps,0.1
case_study_3,agentic_supervisor,ref_shift_max_m,0.2
case_study_3,agentic_supervisor,smooth_alpha_active,0.65
case_study_3,agentic_supervisor,formation_scale_min,0.9
case_study_3,agentic_supervisor,formation_scale_max,1.15
case_study_3,agentic_supervisor,sat_hold_thresh,0.55
case_study_3,agentic_supervisor,sat_release_thresh,0.35
case_study_3,agentic_supervisor,int_leak_override,0.985
case_study_3,agentic_supervisor,drift_disable_phase_ge,2
case_study_3,agentic_supervisor,ref_shift_decay_mps,0.05
case_study_3,agentic_supervisor,err_hard_m,3.5
case_study_3,agentic_supervisor,hard_hold_s,1.5
case_study_3,agentic_supervisor,recovery_ref_shift_rate_mps,0.06
case_study_3,agentic_supervisor,phase_boost_s,4.0
case_study_3,agentic_supervisor,phase_boost_rate_mps,0.12
case_study_3,agentic_supervisor,phase_boost_smooth_alpha,0.85
case_study_3,openloop,openloop_delay_s,0.25
