case_study,controller,seed,mean_tracking_error_m,max_tracking_error_m,rmse_m,formation_error_rel,connectivity_rate,throughput_ratio,control_overhead,control_effort,control_smoothness,task_completion_proxy,system_utility,alive_ratio,steady_state_error_m,error_variance,pre_fault_error_m,fault_window_error_m,post_fault_error_m,peak_fault_error_m,connectivity_pre,connectivity_fault,connectivity_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,post_vs_pre_error_degradation_pct,connectivity_retention_pct,recovery_time_s
case_study_1,openloop,1,23.22716986574159,60.03576932016189,25.930206616860588,11.029579455605067,0.553409090909091,0.41062498036617345,0.3107323232323232,1054981043.970333,11926.442740911867,0.0055871212121212125,-31.4897038668012,1.0,37.024121563288766,132.87419522106657,,,,,,,,,,,,,,,,
case_study_1,openloop,2,43.13774142455247,106.0388092044466,47.703796728458315,16.552547383731376,0.33607954545454544,0.22097033910635952,0.13630050505050503,1073553975.0483845,11140.729813107231,0.0,-58.00989108101113,1.0,65.6609288353806,414.78748709851897,,,,,,,,,,,,,,,,
case_study_1,openloop,3,26.075430656510036,65.7450500221516,27.78300772944674,14.99691913001046,0.4146780303030303,0.20564957312144372,0.18327020202020197,1058118719.9513439,10612.208544803336,0.009280303030303031,-38.99895963500535,1.0,38.689037692948126,91.96743457203382,,,,,,,,,,,,,,,,
case_study_1,openloop,4,50.55062710608365,227.6146713835706,61.257588814692014,21.903747673971893,0.33617424242424243,0.33924050803527117,0.1645833333333333,1064526417.9753599,12096.949631697735,0.004829545454545454,-70.77350356793434,1.0,98.17408158469242,1197.126286571561,,,,,,,,,,,,,,,,
case_study_1,openloop,5,16.792497275842436,54.906670998938914,17.99647438301904,10.105013411230264,0.6149621212121212,0.32371224633489043,0.3509469696969697,964307114.6104337,10477.03618221117,0.005871212121212121,-23.822700081012094,1.0,23.43676527062561,41.885125459484904,,,,,,,,,,,,,,,,
case_study_1,openloop,6,43.44116881447728,100.75688757429916,48.259268072371,13.801580719519189,0.44375,0.3325493646691026,0.19696969696969693,1077349209.5930107,12121.071901840263,0.0,-55.023999533996474,1.0,71.62449104159424,441.8218069130535,,,,,,,,,,,,,,,,
case_study_1,openloop,7,68.98194148670258,339.24634464029583,76.21989844786916,45.63906117076861,0.3921401515151515,0.208310861112148,0.21963383838383835,1087935441.3403456,11732.108500717315,0.0,-112.66030189989544,1.0,112.20198261592888,1050.9646681286283,,,,,,,,,,,,,,,,
case_study_1,openloop,8,20.944089675349417,55.249987219147314,22.919485226332114,11.789341524766678,0.43143939393939396,0.20884776251031778,0.20328282828282823,998261530.9944757,10535.147312618245,0.0017992424242424243,-30.576234230419125,1.0,27.1598676588504,86.64791071097792,,,,,,,,,,,,,,,,
case_study_1,openloop,9,39.41621523960538,100.69202473071508,41.8495523576811,22.556378929454482,0.20416666666666666,0.08879511354421205,0.09747474747474745,905375648.1638957,7914.924809404683,0.0,-60.951760835726525,1.0,49.10826039925273,197.7470087233924,,,,,,,,,,,,,,,,
case_study_1,openloop,10,39.156462638732805,284.70626146597317,47.88139057883333,35.78521801789852,0.49299242424242423,0.18928882842621525,0.2688131313131313,1081376400.7423058,11339.546862669838,0.007102272727272727,-72.47671853541921,1.0,81.15307552804123,759.398997384311,,,,,,,,,,,,,,,,
case_study_1,pid,1,23.35080067126465,70.10309124103559,24.12976058313265,16.66706388945136,0.3234848484848485,0.1686577740764613,0.1479166666666666,893390724.1511042,10670.440359620052,0.0010416666666666667,-38.40044031829177,1.0,30.131372669190913,36.985453810168565,,,,,,,,,,,,,,,,
case_study_1,pid,2,41.64746369007383,184.86378287291075,49.1012846272719,23.05708401340604,0.4213068181818182,0.2951092394383013,0.2414141414141414,900471082.6854422,11083.313417502784,0.0,-62.59801361257079,1.0,77.76509386066842,676.4249202323497,,,,,,,,,,,,,,,,
case_study_1,pid,3,34.72478583795033,176.1146407753325,38.30510153616785,25.45565949180688,0.21259469696969696,0.1925422708492967,0.10738636363636361,864636772.9194751,9870.887935072446,0.005208333333333333,-59.117471844908735,1.0,56.454391856052574,261.47005220461295,,,,,,,,,,,,,,,,
case_study_1,pid,4,33.69450351770648,97.46748616652414,37.228079697605814,14.004513642979688,0.3896780303030303,0.11045204688545099,0.1851641414141414,885701045.9379202,11030.582678824081,0.0004734848484848485,-45.75062700917102,1.0,54.75039990427857,250.61035066655515,,,,,,,,,,,,,,,,
