controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",22.47905792309367,77.61165311718017,13.672538469499763,0.1828125,0.0,-35.23753389259343,1076894293.1753232,10977.475405436619
openloop,"[20.0, 40.0)",47.685379861268764,100.97738466434257,28.933030990556627,0.09947916666666666,0.0,-76.12101501849205,1095279585.0664606,11256.699514907674
openloop,"[40.0, 60.0)",53.232777306169076,146.99733234705832,33.10008943692037,0.11458333333333333,0.0,-85.75995007642278,1080468005.120334,10903.931507664376
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",16.128744277296718,32.056087796085365,11.114978283418322,0.44869791666666664,0.004427083333333333,-25.000232977381707,902072966.4847356,10564.37964786247
pid,"[20.0, 40.0)",33.494683131274414,86.05004120788742,27.56427541121218,0.4546875,0.03177083333333333,-58.78552104248659,894886312.3562531,10977.818058655608
pid,"[40.0, 60.0)",77.8646169803387,280.41892419473095,60.05371231342624,0.296875,0.0,-136.43395429376494,914129194.1834651,11468.950116650205
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",15.83438519545586,39.645392344865805,10.797281072854316,0.4942708333333333,0.02421875,-24.16031210164351,917706349.7462633,10660.15150644876
agentic,"[20.0, 40.0)",39.01880435252963,76.68865180910898,20.169244145251643,0.15,0.0,-58.438048497781274,927467395.2393166,11348.671900657087
agentic,"[40.0, 60.0)",89.21875628768869,325.028097834376,43.396263644927814,0.2947916666666667,0.0,-131.14106159928318,937678968.0894558,11543.159654640081
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
