controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",13.744814934426678,37.51839831365467,8.801277019585058,0.5919270833333333,0.03359375,-19.586456537345068,1041450116.8173602,10402.546274452512
openloop,"[20.0, 40.0)",25.008832937116594,51.70604334040695,11.869203408837157,0.453125,0.008854166666666666,-34.61241134595375,1045710052.6211421,10849.777630525181
openloop,"[40.0, 60.0)",,,,,,,,
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",18.133707283293994,33.628438764659215,7.8308643119900605,0.67109375,0.004166666666666667,-22.609102845284056,760051970.3786777,9162.356058361294
pid,"[20.0, 40.0)",24.605909792805974,38.50828008154658,8.506870153866206,0.6403645833333333,0.0,-29.910957030005516,781939401.1103885,9354.481255033072
pid,"[40.0, 60.0)",,,,,,,,
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",23.041341468405395,51.26605894051242,14.012944448444719,0.40677083333333336,0.02265625,-35.02043175018345,764472726.342746,8951.463274053174
agentic,"[20.0, 40.0)",32.4781797241352,46.33444595690775,18.32942008667578,0.265625,0.00078125,-49.479474810810984,757980498.9723622,8741.508689986367
agentic,"[40.0, 60.0)",,,,,,,,
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
