controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",22.47905792309367,77.61165311718017,13.672538469499763,0.1828125,0.0,-35.23753389259343,1076894293.1753232,10977.475405436619
openloop,"[20.0, 40.0)",49.71193013165779,135.09653050459605,32.15429668084648,0.09861111111111111,0.0,-81.99817125694871,1095711497.0290241,11021.33467059013
openloop,"[40.0, 60.0)",131.4930195478566,355.6352497449934,98.12984258898793,0.0,0.0,-229.62286213684453,1105288349.4123824,11103.628750983575
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",16.128744277296718,32.056087796085365,11.114978283418322,0.44869791666666664,0.004427083333333333,-25.000232977381707,902072966.4847356,10564.37964786247
pid,"[20.0, 40.0)",44.9191143154468,99.96204287057724,33.647898491471175,0.06354166666666666,0.001736111111111111,-78.87430447358464,927214139.7417548,10211.674318978325
pid,"[40.0, 60.0)",80.27539842905163,325.7945428284894,80.54243649798067,0.1328125,0.00703125,-160.15377242703232,935951485.7063233,10851.919514021276
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",15.83438519545586,39.645392344865805,10.797281072854316,0.4942708333333333,0.02421875,-24.16031210164351,917706349.7462633,10660.15150644876
agentic,"[20.0, 40.0)",38.095444116060634,74.60523914967726,23.479398532697203,0.084375,0.0,-61.77796764875783,917542032.3077815,11822.084751161923
agentic,"[40.0, 60.0)",42.00385794855013,97.14730206602184,22.43848392564022,0.24479166666666666,0.0033854166666666668,-63.21838354085701,893125975.2139605,10744.413421255684
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
