controller,time_bin,mean_err_m,max_err_m,formation_err_rel,connectivity_rate,task_completion_proxy,system_utility,control_effort,control_smoothness
openloop,"[0.0, 20.0)",22.478764445659433,77.32690075102221,13.672142059434934,0.1828125,0.0,-35.23684400509436,1077290592.2816596,10964.726563721599
openloop,"[20.0, 40.0)",82.38798605791094,451.0007648867721,70.76284349164204,0.12916666666666668,0.004166666666666667,-152.50499621621964,1101933609.815361,10049.89781019787
openloop,"[40.0, 60.0)",183.32281241778495,621.3075068525189,199.87189015901183,0.0,0.0,-383.1947025767968,1054776165.1642045,11561.074516471259
openloop,"[60.0, 80.0)",,,,,,,,
openloop,"[80.0, 1000000000.0)",,,,,,,,
pid,"[0.0, 20.0)",16.08310946014332,32.056087796085365,11.122891078336611,0.45598958333333334,0.004427083333333333,-24.926052621813263,901612512.9145598,10542.748456785454
pid,"[20.0, 40.0)",29.75557712225722,57.12924579427361,10.444507851374986,0.65,0.0,-36.95008497363221,905690049.606353,11212.472320554136
pid,"[40.0, 60.0)",58.97526452144495,88.62402582358715,12.94394046356683,0.48203125,0.0,-69.50904873501177,922625848.1536945,10752.163732164236
pid,"[60.0, 80.0)",,,,,,,,
pid,"[80.0, 1000000000.0)",,,,,,,,
agentic,"[0.0, 20.0)",15.745023176132781,35.013336374756854,10.738876530350131,0.4942708333333333,0.02421875,-24.012545539816244,916731756.199598,10748.282474714943
agentic,"[20.0, 40.0)",35.633578917684396,67.7327264886124,14.803612378649639,0.2671875,0.00078125,-49.101253796334035,888128355.8198546,10298.881076876005
agentic,"[40.0, 60.0)",45.71576709731716,86.41235388626856,19.94793377584023,0.05260416666666667,0.0,-65.40068003982405,909681822.3839262,9917.775771497758
agentic,"[60.0, 80.0)",,,,,,,,
agentic,"[80.0, 1000000000.0)",,,,,,,,
